algorithm,array_type,size,time_us,char_comparisons
MSDRadixSortWithSwitch,reversed,800,1628,30254
QuickSort,almost_sorted,800,6003,157829
MergeSort,almost_sorted,800,3629,8922
StringQuickSort,almost_sorted,800,1973,36077
StringMergeSort,almost_sorted,800,5831,3238
MSDRadixSort,almost_sorted,800,1554,0
MSDRadixSortWithSwitch,almost_sorted,800,1681,30976
QuickSort,random,900,6144,159882
MergeSort,random,900,4616,10156
StringQuickSort,random,900,1466,28670
StringMergeSort,random,900,7294,6963
MSDRadixSort,random,900,1476,0
MSDRadixSortWithSwitch,random,900,1471,24664
QuickSort,reversed,900,7345,203452
MergeSort,reversed,900,4041,6945
StringQuickSort,reversed,900,1955,39162
StringMergeSort,reversed,900,6638,3460
MSDRadixSort,reversed,900,1852,0
MSDRadixSortWithSwitch,reversed,900,1837,33167
QuickSort,almost_sorted,900,6783,179285
MergeSort,almost_sorted,900,4155,10212
StringQuickSort,almost_sorted,900,1974,41020
StringMergeSort,almost_sorted,900,6965,3808
MSDRadixSort,almost_sorted,900,1828,0
MSDRadixSortWithSwitch,almost_sorted,900,1871,34707
QuickSort,random,1000,6654,173748
MergeSort,random,1000,4977,11607
StringQuickSort,random,1000,1981,34394
StringMergeSort,random,1000,8246,7912
MSDRadixSort,random,1000,1591,0
MSDRadixSortWithSwitch,random,1000,1699,28319
QuickSort,reversed,1000,8197,226579
MergeSort,reversed,1000,5070,7984
StringQuickSort,reversed,1000,2130,47083
StringMergeSort,reversed,1000,7810,3823
MSDRadixSort,reversed,1000,2109,0
MSDRadixSortWithSwitch,reversed,1000,2023,37477
QuickSort,almost_sorted,1000,7218,190842
MergeSort,almost_sorted,1000,5237,11316
StringQuickSort,almost_sorted,1000,1986,43937
StringMergeSort,almost_sorted,1000,7778,4306
MSDRadixSort,almost_sorted,1000,1942,0
MSDRadixSortWithSwitch,almost_sorted,1000,1958,38245
QuickSort,random,1100,7438,193115
MergeSort,random,1100,5570,13024
StringQuickSort,random,1100,1977,38054
StringMergeSort,random,1100,8809,8808
MSDRadixSort,random,1100,1880,0
MSDRadixSortWithSwitch,random,1100,1870,31386
QuickSort,reversed,1100,9325,249552
MergeSort,reversed,1100,5095,8769
StringQuickSort,reversed,1100,2283,50203
StringMergeSort,reversed,1100,8633,4284
MSDRadixSort,reversed,1100,2378,0
MSDRadixSortWithSwitch,reversed,1100,2371,41113
QuickSort,almost_sorted,1100,8236,217610
MergeSort,almost_sorted,1100,5344,12786
StringQuickSort,almost_sorted,1100,2228,48705
StringMergeSort,almost_sorted,1100,8618,4769
MSDRadixSort,almost_sorted,1100,2224,0
MSDRadixSortWithSwitch,almost_sorted,1100,2246,42411
QuickSort,random,1200,8202,211165
MergeSort,random,1200,6082,14518
StringQuickSort,random,1200,2326,42134
StringMergeSort,random,1200,9873,9722
MSDRadixSort,random,1200,1915,0
MSDRadixSortWithSwitch,random,1200,2010,33289
QuickSort,reversed,1200,10245,271945
MergeSort,reversed,1200,5839,9462
StringQuickSort,reversed,1200,2529,53502
StringMergeSort,reversed,1200,9218,4747
MSDRadixSort,reversed,1200,3038,0
MSDRadixSortWithSwitch,reversed,1200,2493,44171
QuickSort,almost_sorted,1200,8692,230701
MergeSort,almost_sorted,1200,6057,14642
StringQuickSort,almost_sorted,1200,2526,53610
StringMergeSort,almost_sorted,1200,9824,5259
MSDRadixSort,almost_sorted,1200,2392,0
MSDRadixSortWithSwitch,almost_sorted,1200,2408,44815
QuickSort,random,1300,8935,233527
MergeSort,random,1300,7126,15979
StringQuickSort,random,1300,2288,46002
StringMergeSort,random,1300,10626,10710
MSDRadixSort,random,1300,2107,0
MSDRadixSortWithSwitch,random,1300,2411,39512
QuickSort,reversed,1300,11042,295007
MergeSort,reversed,1300,6077,10282
StringQuickSort,reversed,1300,2828,61609
StringMergeSort,reversed,1300,10255,5193
MSDRadixSort,reversed,1300,2883,0
MSDRadixSortWithSwitch,reversed,1300,2640,48332
QuickSort,almost_sorted,1300,9417,250293
MergeSort,almost_sorted,1300,6483,15866
StringQuickSort,almost_sorted,1300,2673,55907
StringMergeSort,almost_sorted,1300,10605,5757
MSDRadixSort,almost_sorted,1300,2596,0
MSDRadixSortWithSwitch,almost_sorted,1300,2586,48919
QuickSort,random,1400,10045,250729
MergeSort,random,1400,7090,17577
StringQuickSort,random,1400,2760,51857
StringMergeSort,random,1400,12091,11610
MSDRadixSort,random,1400,2284,0
MSDRadixSortWithSwitch,random,1400,2538,39625
QuickSort,reversed,1400,11972,316009
MergeSort,reversed,1400,7084,11163
StringQuickSort,reversed,1400,3031,65176
StringMergeSort,reversed,1400,13285,5572
MSDRadixSort,reversed,1400,3570,0
MSDRadixSortWithSwitch,reversed,1400,3170,51652
QuickSort,almost_sorted,1400,10348,270976
MergeSort,almost_sorted,1400,7050,17455
StringQuickSort,almost_sorted,1400,3064,61830
StringMergeSort,almost_sorted,1400,11154,6316
MSDRadixSort,almost_sorted,1400,2762,0
MSDRadixSortWithSwitch,almost_sorted,1400,3058,52876
QuickSort,random,1500,10572,264470
MergeSort,random,1500,7802,19083
StringQuickSort,random,1500,2832,55139
StringMergeSort,random,1500,12776,12589
MSDRadixSort,random,1500,2751,0
MSDRadixSortWithSwitch,random,1500,2642,44997
QuickSort,reversed,1500,12420,338799
MergeSort,reversed,1500,7317,12085
StringQuickSort,reversed,1500,3174,70946
StringMergeSort,reversed,1500,12139,5970
